make,model,price,year,kilometers,kilowatts,engine_type,created_at
renault,clio,170.00,2000,230000,43,petrol,2020-06-10
renault,clio,170.00,1999,200000,43,petrol,2020-05-14
renault,clio,170.00,2000,239841,43,petrol,2020-05-29
renault,clio,170.00,1994,119000,43,petrol,2020-07-22
renault,clio,180.00,1995,140000,58,petrol,2020-05-13
renault,clio,180.00,1999,182000,43,petrol,2020-08-07
renault,clio,180.00,2000,240000,43,petrol,2020-05-05
renault,clio,180.00,1997,135000,55,petrol,2020-06-03
renault,clio,180.00,1997,102000,43,petrol,2020-06-03
renault,clio,180.00,1999,300122,43,petrol,2020-05-12
renault,clio,180.00,2000,16056,43,petrol,2020-09-23
renault,clio,180.00,1998,270000,43,petrol,2020-05-17
renault,clio,180.00,1996,150000,43,petrol,2020-05-03
renault,clio,180.00,1999,170000,55,petrol,2020-06-03
renault,clio,180.00,1998,215056,43,petrol,2020-05-03
renault,clio,180.00,1994,102000,58,petrol,2020-05-31
renault,clio,180.00,2002,193000,55,petrol,2020-09-04
renault,clio,185.00,1998,280000,43,petrol,2020-05-14
renault,clio,190.00,2000,240000,43,petrol,2020-05-05
renault,clio,190.00,1998,147298,43,petrol,2020-05-02
renault,clio,190.00,1999,200495,43,petrol,2020-06-07
renault,clio,190.00,1997,170857,43,petrol,2020-09-10
renault,clio,190.00,2000,280000,43,petrol,2020-05-29
renault,clio,190.00,1997,184445,49,petrol,2020-07-29
renault,clio,190.00,2000,178286,43,petrol,2020-06-12
renault,clio,190.00,2001,220000,43,petrol,2020-07-31
renault,clio,190.00,1997,225000,43,petrol,2020-08-28
renault,clio,199.00,1999,122600,55,petrol,2020-05-26
renault,clio,199.00,1993,94000,43,petrol,2020-09-14
renault,clio,200.00,1994,30500,43,petrol,2020-07-09
renault,clio,200.00,2000,152600,41,petrol,2020-05-24
renault,clio,200.00,1998,130000,43,petrol,2020-07-26
renault,clio,200.00,1998,335784,43,petrol,2020-06-02
renault,clio,200.00,1998,201411,43,petrol,2020-09-04
renault,clio,200.00,2000,140000,43,petrol,2020-07-15
renault,clio,200.00,1997,135000,55,petrol,2020-06-01
renault,clio,200.00,2000,170000,43,petrol,2020-07-20
renault,clio,200.00,1997,138000,43,petrol,2020-07-09
renault,clio,200.00,2003,270,55,petrol,2020-07-18
renault,clio,200.00,2004,307410,60,diesel,2020-07-16
renault,clio,200.00,1998,270000,55,petrol,2020-06-10
renault,clio,200.00,1999,133000,43,petrol,2020-04-27
renault,clio,200.00,2001,140000,43,petrol,2020-05-20
renault,clio,200.00,2005,225000,48,diesel,2020-05-28
renault,clio,200.00,1997,135000,55,petrol,2020-05-29
renault,clio,200.00,2001,187350,55,petrol,2020-07-30
renault,clio,200.00,2001,58,43,petrol,2020-05-30
renault,clio,200.00,1999,170000,43,petrol,2020-08-05
renault,clio,200.00,2000,58,43,petrol,2020-05-06
renault,clio,200.00,2000,161000,43,petrol,2020-06-14
renault,clio,200.00,2002,220000,55,petrol,2020-06-03
renault,clio,200.00,2001,75,55,petrol,2020-06-02
renault,clio,200.00,2000,188000,43,petrol,2020-06-23
renault,clio,200.00,1996,191500,58,petrol,2020-06-03
renault,clio,200.00,1997,135000,55,petrol,2020-05-28
renault,clio,200.00,2002,230000,55,petrol,2020-04-28
renault,clio,200.00,2000,200000,43,petrol,2020-05-12
renault,clio,200.00,2003,215000,72,petrol,2020-06-11
renault,clio,200.00,2000,150000,43,petrol,2020-07-09
renault,clio,200.00,1997,135000,55,petrol,2020-05-29
renault,clio,200.00,1999,100000,43,petrol,2020-09-02
renault,clio,200.00,1999,190000,43,petrol,2020-05-07
renault,clio,200.00,1999,100000,43,petrol,2020-05-01
renault,clio,200.00,2002,230000,48,diesel,2020-09-22
renault,clio,200.00,2002,174000,48,diesel,2020-05-06
renault,clio,200.00,2002,217000,55,petrol,2020-10-08
renault,clio,200.00,2000,250000,72,petrol,2020-06-30
renault,clio,200.00,2000,239000,43,petrol,2020-05-18
renault,clio,200.00,2002,225313,55,petrol,2020-09-21
renault,clio,200.00,1999,109952,43,petrol,2020-07-09
renault,clio,200.00,2000,196336,43,petrol,2020-06-01
renault,clio,200.00,1999,250000,43,petrol,2020-09-02
renault,clio,200.00,2005,217000,55,petrol,2020-07-27
renault,clio,200.00,2000,200000,43,petrol,2020-07-30
renault,clio,200.00,2002,145000,55,petrol,2020-07-19
renault,clio,200.00,2003,260000,55,petrol,2020-08-12
renault,clio,200.00,1998,160600,43,petrol,2020-06-12
renault,clio,200.00,2001,205400,43,petrol,2020-05-27
renault,clio,200.00,1999,182000,43,petrol,2020-08-24
renault,clio,200.00,1999,200000,43,petrol,2020-07-23
renault,clio,200.00,2000,240000,43,petrol,2020-05-05
renault,clio,200.00,1999,95000,43,petrol,2020-09-01
renault,clio,200.00,1998,180000,43,petrol,2020-06-02
renault,clio,200.00,2000,58,43,petrol,2020-06-22
renault,clio,200.00,2003,196000,48,diesel,2020-09-03
renault,clio,200.00,2005,191000,72,petrol,2020-09-01
renault,clio,200.00,1999,148354,43,petrol,2020-08-16
renault,clio,200.00,2000,220000,43,petrol,2020-08-05
renault,clio,200.00,2001,123000,43,petrol,2020-05-30
renault,clio,200.00,1997,115500,43,petrol,2020-06-20
renault,clio,200.00,1998,213938,43,petrol,2020-05-24
renault,clio,200.00,2020,188,74,petrol,2020-05-29
renault,clio,200.00,2003,286000,60,diesel,2020-09-30
renault,clio,200.00,2000,190000,43,petrol,2020-04-28
renault,clio,210.00,2003,253000,48,diesel,2020-09-16
renault,clio,210.00,2000,189000,55,petrol,2020-06-10
renault,clio,210.00,1998,228000,43,petrol,2020-08-05
renault,clio,210.00,1999,180000,43,petrol,2020-06-11
renault,clio,215.00,1999,220000,55,petrol,2020-04-28
renault,clio,220.00,1996,154448,43,petrol,2020-05-13
renault,clio,220.00,2005,160000,60,diesel,2020-06-05
renault,clio,220.00,1997,125000,55,petrol,2020-06-29
renault,clio,220.00,1999,136286,43,petrol,2020-06-07
renault,clio,220.00,1999,116000,43,petrol,2020-06-14
renault,clio,220.00,1999,285000,43,petrol,2020-05-25
renault,clio,220.00,2001,230000,55,petrol,2020-08-06
renault,clio,220.00,2001,188000,72,petrol,2020-08-11
renault,clio,230.00,2000,190000,43,petrol,2020-04-29
renault,clio,230.00,1998,222000,43,petrol,2020-05-26
renault,clio,230.00,2005,68,50,diesel,2020-04-30
renault,clio,230.00,1999,230000,43,petrol,2020-06-03
renault,clio,230.00,2001,190000,72,petrol,2020-06-06
renault,clio,230.00,2000,1,43,petrol,2020-06-25
renault,clio,230.00,1999,196466,55,petrol,2020-04-18
renault,clio,230.00,1998,120000,43,petrol,2020-05-26
renault,clio,230.00,2000,240000,43,petrol,2020-06-13
renault,clio,230.00,1999,100000,43,petrol,2020-07-10
renault,clio,230.00,2005,142000,55,petrol,2020-09-09
renault,clio,230.00,1999,235000,55,petrol,2020-08-21
renault,clio,230.00,1999,284000,43,petrol,2020-07-24
renault,clio,240.00,2000,176000,43,petrol,2020-07-31
renault,clio,240.00,1998,87002,43,petrol,2020-07-28
renault,clio,243.00,2002,350000,48,diesel,2020-06-04
renault,clio,245.00,2002,165000,75,petrol,2020-06-04
renault,clio,247.00,2000,210000,55,petrol,2020-08-04
renault,clio,250.00,1999,165000,43,petrol,2020-05-04
renault,clio,250.00,2000,180000,45,petrol,2020-05-07
renault,clio,250.00,2003,199,55,petrol,2020-05-09
renault,clio,250.00,2001,140000,44,petrol,2020-07-13
renault,clio,250.00,2001,170300,43,petrol,2020-05-19
renault,clio,250.00,2001,230000,43,petrol,2020-05-09
renault,clio,250.00,2006,137000,50,diesel,2020-08-09
renault,clio,250.00,2000,138000,43,petrol,2020-06-20
renault,clio,250.00,2002,135000,55,petrol,2020-06-26
renault,clio,250.00,1999,243000,48,petrol,2020-08-04
renault,clio,250.00,1999,214000,43,petrol,2020-07-31
renault,clio,250.00,2002,184000,55,petrol,2020-08-15
renault,clio,250.00,1997,118000,43,petrol,2020-09-07
renault,clio,250.00,1999,270000,43,petrol,2020-05-06
renault,clio,250.00,2000,340000,43,petrol,2020-05-15
renault,clio,250.00,2002,230000,43,petrol,2020-08-06
renault,clio,250.00,1999,190305,43,petrol,2020-06-01
renault,clio,250.00,1996,215642,55,petrol,2020-05-13
renault,clio,250.00,1995,185536,43,petrol,2020-08-17
renault,clio,250.00,2002,230000,55,petrol,2020-07-21
renault,clio,250.00,1994,114500,43,petrol,2020-05-16
renault,clio,250.00,1998,163343,45,petrol,2020-05-01
renault,clio,250.00,1999,205000,43,petrol,2020-09-16
renault,clio,250.00,2000,320900,43,petrol,2020-06-11
renault,clio,250.00,1996,197284,43,petrol,2020-07-15
renault,clio,250.00,2002,316630,43,petrol,2020-07-15
renault,clio,250.00,1999,101000,43,petrol,2020-08-06
renault,clio,250.00,1999,221000,55,petrol,2020-06-15
renault,clio,250.00,1999,190000,43,petrol,2020-04-26
renault,clio,250.00,1997,120000,43,petrol,2020-10-08
renault,clio,250.00,1999,142860,43,petrol,2020-09-20
renault,clio,250.00,2000,199000,55,petrol,2020-08-30
renault,clio,250.00,2001,350000,55,petrol,2020-08-30
renault,clio,250.00,2004,228300,55,petrol,2020-09-05
renault,clio,250.00,1999,58,43,petrol,2020-05-16
renault,clio,250.00,2002,235000,72,petrol,2020-08-15
renault,clio,250.00,1999,249263,55,petrol,2020-05-13
renault,clio,250.00,2002,429000,55,petrol,2020-09-24
renault,clio,250.00,2001,130000,43,petrol,2020-07-25
renault,clio,250.00,2001,246000,55,petrol,2020-05-11
renault,clio,250.00,2000,240000,43,petrol,2020-05-15
renault,clio,250.00,2000,208300,43,petrol,2020-06-15
renault,clio,250.00,2000,195672,43,petrol,2020-08-09
renault,clio,250.00,2000,213000,43,petrol,2020-07-18
renault,clio,250.00,1999,188720,43,petrol,2020-04-18
renault,clio,250.00,2002,226000,72,petrol,2020-09-29
renault,clio,250.00,1999,198000,43,petrol,2020-06-24
renault,clio,250.00,2000,160000,43,petrol,2020-07-14
renault,clio,250.00,2000,170561,43,petrol,2020-05-10
renault,clio,250.00,2000,178000,43,petrol,2020-09-15
renault,clio,250.00,1999,286995,43,petrol,2020-08-14
renault,clio,250.00,2002,135000,55,petrol,2020-06-25
renault,clio,250.00,2000,320900,43,petrol,2020-06-15
renault,clio,250.00,1999,125000,55,petrol,2020-05-08
renault,clio,250.00,1999,216000,55,petrol,2020-06-10
renault,clio,250.00,2001,180000,43,petrol,2020-07-09
renault,clio,250.00,1998,58,43,petrol,2020-05-22
renault,clio,250.00,1997,119500,43,petrol,2020-07-28
renault,clio,250.00,2002,199000,55,petrol,2020-07-27
renault,clio,250.00,2003,225000,55,petrol,2020-09-01
renault,clio,259.00,1998,171000,55,petrol,2020-08-15
renault,clio,260.00,1999,190000,43,petrol,2020-06-25
renault,clio,260.00,1999,285000,43,petrol,2020-05-20
renault,clio,260.00,2000,320900,43,petrol,2020-05-27
renault,clio,260.00,2000,95000,43,petrol,2020-07-16
renault,clio,260.00,1998,87888,43,petrol,2020-10-04
renault,clio,260.00,2004,201000,60,diesel,2020-06-18
renault,clio,270.00,1999,130000,43,petrol,2020-09-20
renault,clio,270.00,1998,87888,43,petrol,2020-09-01
renault,clio,270.00,2002,43000,55,petrol,2020-09-23
renault,clio,270.00,2000,320900,43,petrol,2020-05-25
renault,clio,270.00,1996,150000,43,petrol,2020-04-27
renault,clio,270.00,2001,279000,43,petrol,2020-05-05
renault,clio,270.00,2002,165254,72,petrol,2020-06-07
renault,clio,270.00,2003,154000,55,petrol,2020-04-25
renault,clio,270.00,1999,137154,55,petrol,2020-07-11
renault,clio,280.00,2004,230000,48,diesel,2020-08-04
renault,clio,280.00,1997,238000,43,petrol,2020-05-14
renault,clio,280.00,1999,220000,43,petrol,2020-04-26
renault,clio,280.00,2001,205783,43,petrol,2020-05-16
renault,clio,285.00,1997,115000,43,petrol,2020-05-13
renault,clio,285.00,1993,190000,58,petrol,2020-05-04
renault,clio,290.00,2002,240000,43,petrol,2020-08-24
renault,clio,290.00,2004,197000,60,diesel,2020-08-17
renault,clio,290.00,2000,188000,43,petrol,2020-05-28
renault,clio,290.00,1995,76000,43,petrol,2020-08-05
renault,clio,290.00,1999,119000,43,petrol,2020-06-10
renault,clio,290.00,2003,242019,48,diesel,2020-09-19
